"","Bins","Count","Percent","Name"
"1",0,7,5.83333333333333,"Historical"
"2",100,5,4.16666666666667,"Historical"
"3",200,5,4.16666666666667,"Historical"
"4",300,2,1.66666666666667,"Historical"
"5",400,4,3.33333333333333,"Historical"
"6",500,7,5.83333333333333,"Historical"
"7",600,7,5.83333333333333,"Historical"
"8",700,1,0.833333333333333,"Historical"
"9",800,3,2.5,"Historical"
"10",900,1,0.833333333333333,"Historical"
"11",1000,2,1.66666666666667,"Historical"
"12",1100,1,0.833333333333333,"Historical"
"13",1200,4,3.33333333333333,"Historical"
"14",1300,3,2.5,"Historical"
"15",1400,4,3.33333333333333,"Historical"
"16",1600,4,3.33333333333333,"Historical"
"17",1900,2,1.66666666666667,"Historical"
"18",2000,1,0.833333333333333,"Historical"
"19",2100,2,1.66666666666667,"Historical"
"20",2300,2,1.66666666666667,"Historical"
"21",2400,1,0.833333333333333,"Historical"
"22",2500,2,1.66666666666667,"Historical"
"23",2600,1,0.833333333333333,"Historical"
"24",2700,1,0.833333333333333,"Historical"
"25",2900,2,1.66666666666667,"Historical"
"26",3000,2,1.66666666666667,"Historical"
"27",3100,2,1.66666666666667,"Historical"
"28",3300,1,0.833333333333333,"Historical"
"29",3400,1,0.833333333333333,"Historical"
"30",3500,1,0.833333333333333,"Historical"
"31",3700,2,1.66666666666667,"Historical"
"32",4200,1,0.833333333333333,"Historical"
"33",4500,1,0.833333333333333,"Historical"
"34",4700,2,1.66666666666667,"Historical"
"35",4800,1,0.833333333333333,"Historical"
"36",5000,1,0.833333333333333,"Historical"
"37",5300,1,0.833333333333333,"Historical"
"38",5500,2,1.66666666666667,"Historical"
"39",5600,1,0.833333333333333,"Historical"
"40",6300,1,0.833333333333333,"Historical"
"41",6400,1,0.833333333333333,"Historical"
"42",8200,1,0.833333333333333,"Historical"
"43",8400,1,0.833333333333333,"Historical"
"44",8700,1,0.833333333333333,"Historical"
"45",10800,1,0.833333333333333,"Historical"
"46",10900,2,1.66666666666667,"Historical"
"47",11000,1,0.833333333333333,"Historical"
"48",11300,1,0.833333333333333,"Historical"
"49",11800,1,0.833333333333333,"Historical"
"50",13000,1,0.833333333333333,"Historical"
"51",13500,2,1.66666666666667,"Historical"
"52",13800,1,0.833333333333333,"Historical"
"53",15600,1,0.833333333333333,"Historical"
"54",18300,1,0.833333333333333,"Historical"
"55",26400,1,0.833333333333333,"Historical"
"56",31600,1,0.833333333333333,"Historical"
"57",32500,1,0.833333333333333,"Historical"
"58",41700,1,0.833333333333333,"Historical"
"59",44200,1,0.833333333333333,"Historical"
"60",47900,1,0.833333333333333,"Historical"
"61",50900,1,0.833333333333333,"Historical"
"62",59700,1,0.833333333333333,"Historical"
"63",115100,1,0.833333333333333,"Historical"
"64",226100,1,0.833333333333333,"Historical"
